"Submit","Провести"
"Image in the description has been removed. To disable this behavior, uncheck ""{0}"" in {1}.","Изображение в описании было удалено. Чтобы отключить это поведение, снимите флаг ""{0}"" в {1}."
"Image link '{0}' is not valid","Ссылка на изображение '{0}' недействительна"
"Image optimized","Изображение оптимизировано"
"Image: Corrupted Data Stream","Изображение: повреждённый поток данных"
"Images","Изображения"
"Impairment","Обесценение"
"Impersonate","Выдавать себя за другого пользователя"
"Impersonate as {0}","Выдавать себя за {0}"
"Impersonated by {0}","Выданный себя за {0}"
"Impersonating {0}","Выдача себя за {0}"
"Implement `clear_old_logs` method to enable auto error clearing.","Реализуйте метод `clear_old_logs` для включения автоматической очистки ошибок."
"Implicit","Неявный"
"Import Chart of Accounts from a csv file","Импортировать План счётов из CSV-файла"
"Import Email From","Импортировать электронную почту из"
"Import File","Импортировать файл"
"Import File Errors and Warnings","Ошибки и предупреждения при импорте файла"
"Import Genericode File","Импортировать файл Genericode"
"Import Invoices","Импортировать счёта-фактуры"
"Import Log","Журнал импорта"
"Import Log Preview","Предпросмотр журнала импорта"
"Import Preview","Предпросмотр импорта"
"Import Progress","Прогресс импорта"
"Import Subscribers","Импортировать подписчиков"
"Import Successful","Импорт выполнен успешно"
"Import Supplier Invoice","Импортировать счёт-фактуру поставщика"
"Import Type","Тип импорта"
"Import Using CSV file","Импортировать с использованием CSV-файла"
"Import Warnings","Предупреждения при импорте"
"Import Zip","Импортировать ZIP"
"Import completed. {0} common codes created.","Импорт завершён. Создано общих кодов: {0}."
"Import from Google Sheets","Импортировать из Google Sheets"
"Import in Bulk","Импортировать массово"
"Import template should be of type .csv, .xlsx or .xls","Шаблон импорта должен быть в формате .csv, .xlsx или .xls"
"Import template should contain a Header and atleast one row.","Шаблон импорта должен содержать заголовок и по крайней мере одну строку."
"Import timed out, please re-try.","Истёк таймаут импорта, пожалуйста, повторите попытку."
"Importing Code Lists from remote URLs is not allowed.","Импорт списков кодов с удалённых URL запрещён."
"Importing Common Codes","Импорт общих кодов"
"Importing {0} is not allowed.","Импорт {0} запрещён."
"Importing {0} of {1}","Импорт {0} из {1}"
"Importing {0} of {1}, {2}","Импорт {0} из {1}, {2}"
"In","В"
"In Days","В днях"
"In Filter","В фильтре"
"In Global Search","В глобальном поиске"
"In Grid View","В табличном представлении"
"In House","На складе"
"In List Filter","В фильтре списка"
"In List View","В списке"
"In Maintenance","На обслуживании"
"In Mins","В минутах"
"In Minutes","В минутах"
"In Party Currency","В валюте контрагента"
"In Percentage","В процентах"
"In Preview","В предпросмотре"
"In Process","В обработке"
"In Production","В производстве"
"In Qty","В количестве"
"In Read Only Mode","В режиме только чтения"
"In Reply To","В ответ на"
"In Standard Filter","В стандартном фильтре"
"In Stock","На складе"
"In Stock Qty","Количество на складе"
"In Transit","В пути"
"In Transit Transfer","Передача в пути"
"In Transit Warehouse","Склад промежуточного хранения"
"In Value","По стоимости"
"In Words","Прописью"
"In Words (Company Currency)","Прописью (валюта компании)"
"In Words (Export) will be visible once you save the Delivery Note.","Сумма прописью (экспорт) будет видна после сохранения Документа отгрузки."
"In Words will be visible once you save the Delivery Note.","Сумма прописью будет видна после сохранения Документа отгрузки."
"In Words will be visible once you save the Sales Invoice.","Сумма прописью будет видна после сохранения Счета-фактуры продажи."
"In Words will be visible once you save the Sales Order.","Сумма прописью будет видна после сохранения Заказа покупателя."
"In mins","В минутах"
"In minutes","В минутах"
"In points. Default is 9.","В пунктах. По умолчанию 9."
"In row {0} of Appointment Booking Slots: ""To Time"" must be later than ""From Time"".","В строке {0} раздела «Слоты бронирования»: «Время окончания» должно быть позже «Времени начала»."
"In seconds","В секундах"
"In stock","На складе"
"In the case of multi-tier program, Customers will be auto assigned to the concerned tier as per their spent","В случае многоуровневой программы клиенты автоматически назначаются на соответствующий уровень в зависимости от их затрат"
"In this section, you can define Company-wide transaction-related defaults for this Item. Eg. Default Warehouse, Default Price List, Supplier, etc.","В этом разделе вы можете определить стандартные параметры, связанные с операциями компании, для этой номенклатуры. Например: склад по умолчанию, прайс-лист по умолчанию, поставщик и т.д."
"In {0}, {1} is required in every row.","В {0} {1} требуется в каждой строке."
"In {0}, {1} is required in row {2}.","В {0} {1} требуется в строке {2}."
"In {0}, {1} is required in rows {2}.","В {0} {1} требуется в строках {2}."
"In {0}, {1} is required in {2} rows.","В {0} {1} требуется в {2} строках."
"Inactive","Неактивная"
"Inactive Customers","Неактивные покупатели"
"Inactive Sales Items","Неактивные производимые номенклатуры"
"Inactive Status","Статус неактивной"
"Inbox","Входящие"
"Inbox User","Пользователь входящих"
"Inbox View","Вид входящих"
"Incentives","Стимулирующие программы"
"Include Account Currency","Включить валюту счёта"
"Include Ageing Summary","Включить сводку по возрастам"
"Include Closed Orders","Включить закрытые заказы"
"Include Default FB Assets","Включить стандартные активы основных средств"
"Include Default FB Entries","Включить стандартные записи основных средств"
"Include Disabled","Включить отключённые"
"Include Expired","Включить истёкшие"
"Include Expired Batches","Включить истёкшие партии"
"Include Exploded Items","Включить разложенные номенклатуры"
"Include Item In Manufacturing","Включить номенклатуру в производство"
"Include Name Field","Включить поле название"
"Include Non Stock Items","Включить номенклатуры не из складского учёта"
"Include POS Transactions","Включить операции по кассе"
"Include Payment","Включить платёж"
"Include Payment (POS)","Включить платёж (касса)"
"Include Reconciled Entries","Включить сверённые записи"
"Include Returned Invoices (Stand-alone)","Включить возвращённые счета-фактуры (самостоятельные)"
"Include Safety Stock in Required Qty Calculation","Включить страховой запас в расчёт требуемого количества"
"Include Search in Top Bar","Включить поиск в верхнюю панель"
"Include Sub-assembly Raw Materials","Включить сырьё подсборок"
"Include Subcontracted Items","Включить субподрядные номенклатуры"
"Include Theme from Apps","Включить тему из приложений"
"Include Timesheets in Draft Status","Включить табели учёта рабочего времени в статусе черновика"
"Include UOM","Включить единицу измерения"
"Include Web View Link in Email","Включить ссылку веб-просмотра в письмо"
"Include Zero Stock Items","Включить номенклатуры с нулевым остатком"
"Include filters","Включить фильтры"
"Include hidden columns","Включить скрытые столбцы"
"Include in gross","Включить в валовую сумму"
"Include indentation","Включить отступ"
"Include symbols, numbers and capital letters in the password","Включить символы, цифры и заглавные буквы в пароль"
"Included Fee","Включённый сбор"
"Included fee is bigger than the withdrawal itself.","Включённый сбор больше, чем сама сумма вывода."
"Included in Gross Profit","Включено в валовую прибыль"
"Including items for sub assemblies","Включая номенклатуру для сборочных единиц"
"Income","Доходы"
"Income Account","Счёт доходов"
"Incoming","Входящий"
"Incoming (POP/IMAP) Settings","Параметры входящей почты (POP/IMAP)"
"Incoming Call Handling Schedule","График обработки входящих вызовов"
"Incoming Call Settings","Параметры входящих вызовов"
"Incoming Emails (Last 7 days)","Входящие письма (последние 7 дней)"
"Incoming Rate","Входящий тариф"
"Incoming Rate (Costing)","Входящий тариф (калькуляция)"
"Incoming Server","Входящий сервер"
"Incoming Settings","Параметры входящей почты"
"Incoming call from {0}","Входящий вызов от {0}"
"Incoming email account not correct","Учётная запись входящей почты некорректна"
"Incompatible Setting Detected","Обнаружена несовместимая настройка"
"Incomplete Virtual Doctype Implementation","Неполная реализация виртуального типа документа"
"Incomplete login details","Неполные данные входа"
"Incorrect Account","Некорректный счёт"
"Incorrect Balance Qty After Transaction","Неправильный остаток количества после транзакции"
"Incorrect Batch Consumed","Неправильная партия израсходована"
"Incorrect Check in (group) Warehouse for Reorder","Некорректный склад регистрации (группа) для переупорядочения"
"Incorrect Company","Некорректная организация"
"Incorrect Component Quantity","Неправильное количество компонента"
"Incorrect Configuration","Некорректная конфигурация"
"Incorrect Date","Неправильная дата"
"Incorrect Invoice","Некорректный счёт-фактура"
"Incorrect Payment Type","Неправильный тип платежа"
"Incorrect Reference Document (Purchase Receipt Item)","Некорректный справочный документ (позиция приходной накладной)"
"Incorrect Serial No Valuation","Неправильная оценка серийного номера"
"Incorrect Serial Number Consumed","Неправильный серийный номер израсходован"
"Incorrect Serial and Batch Bundle","Неправильный серийный номер и пакет партии"
"Incorrect Stock Value Report","Неправильный отчёт о стоимости запасов"
"Incorrect Type of Transaction","Некорректный тип транзакции"
"Incorrect URL","Некорректный URL"
"Incorrect User or Password","Неверный пользователь или пароль"
"Incorrect Verification code","Неверный код проверки"
"Incorrect Warehouse","Неверный склад"
"Incorrect number of General Ledger Entries found. You might have selected a wrong Account in the transaction.","Найдено неверное количество записей Главной книги. Возможно, вы выбрали неправильный счёт в проводке."
"Incorrect value in row {0}:","Неверное значение в строке {0}:"
"Incorrect value:","Неверное значение:"
"Incoterm","Условие поставки"
"Increase In Asset Life(Months)","Увеличение срока полезного использования активов (месяцы)"
"Increment","Приращение"
"Increment cannot be 0","Приращение не может быть равно 0"
"Increment for Attribute {0} cannot be 0","Приращение для атрибута {0} не может быть равно 0"
"Indent","Заявка на закупку"
"Index","Индекс"
"Index Web Pages for Search","Индексировать веб-страницы для поиска"
"Index created successfully on column {0} of doctype {1}","Индекс успешно создан в столбце {0} типа документа {1}"
"Indexing authorization code","Индексирование кода авторизации"
"Indexing refresh token","Индексирование токена обновления"
"Indicates that the package is a part of this delivery (Only Draft)","Указывает, что пакет является частью этой отправки (Только черновик)"
"Indicator","Индикатор"
"Indicator Color","Цвет индикатора"
"Indicator color","Цвет индикатора"
"Indirect Expense","Косвенные расходы"
"Indirect Expenses","Косвенные расходы"
"Indirect Income","Косвенные доходы"
"Individual","Физическое лицо"
"Individual GL Entry cannot be cancelled.","Отдельную запись Главной книги нельзя отменить."
"Individual Stock Ledger Entry cannot be cancelled.","Отдельную запись реестра запасов нельзя отменить."
"Industry","Отрасль"
"Industry Type","Тип отрасли"
"Info","Информация"
"Info:","Информация:"
"Initial Email Notification Sent","Отправлено начальное уведомление по электронной почте"
"Initial Sync Count","Количество записей при начальной синхронизации"
"Initialize Summary Table","Инициализировать таблицу сводки"
"Initiated","Инициирована"
"Insert","Вставить"
"Insert Above","Вставить выше"
"Insert After","Вставить после"
"Insert After cannot be set as {0}","Вставить после не может быть установлено как {0}"
"Insert After field '{0}' mentioned in Custom Field '{1}', with label '{2}', does not exist","Поле 'Вставить после' '{0}', указанное в пользовательском поле '{1}' с меткой '{2}', не существует"
"Insert Below","Вставить ниже"
"Insert Column Before {0}","Вставить колонку перед {0}"
"Insert Image in Markdown","Вставить изображение в Markdown"
"Insert New Records","Вставить новые записи"
"Insert Style","Вставить стиль"
"Inspected By","Проверил"
"Inspection Rejected","Проверка отклонена"
"Inspection Required","Требуется проверка"
"Inspection Required before Delivery","Требуется проверка перед отпуском"
"Inspection Required before Purchase","Требуется проверка перед закупкой"
"Inspection Submission","Акт проверки качества"
"Inspection Type","Тип проверки"
"Install {0} from Marketplace","Установить {0} из Marketplace"
"Installation Date","Дата установки"
"Installation Note","Акт установки"
"Installation Note Item","Строка акта установки"
"Installation Note {0} has already been submitted","Акт установки {0} уже проведён"
"Installation Status","Статус установки"
"Installation Time","Время установки"
"Installation date cannot be before delivery date for Item {0}","Дата установки не может быть раньше даты поставки для номенклатуры {0}"
"Installed Application","Установленное приложение"
"Installed Applications","Установленные приложения"
"Installed Apps","Установленные приложения"
"Installed Qty","Установленное количество"
"Installing presets","Установка предустановок"
"Instruction","Инструкция"
"Instructions","Инструкции"
"Instructions Emailed","Инструкции отправлены по электронной почте"
"Insufficient Capacity","Недостаточная мощность"
"Insufficient Permission Level for {0}","Недостаточный уровень прав доступа для {0}"
"Insufficient Permission for {0}","Недостаточно прав доступа для {0}"
"Insufficient Permissions","Недостаточно прав доступа"
"Insufficient Permissions for deleting Report","Недостаточно прав для удаления отчёта"
"Insufficient Permissions for editing Report","Недостаточно прав для редактирования отчёта"
"Insufficient Stock","Недостаточно товара"
"Insufficient Stock for Batch","Недостаточно товара в партии"
"Insufficient Stock for Product Bundle Items","Недостаточно товара для позиций комплекта"
"Insufficient attachment limit","Превышен лимит вложений"
"Insurance Company","Страховая компания"
"Insurance Details","Данные страховки"
"Insurance End Date","Дата окончания страховки"
"Insurance Start Date","Дата начала страховки"
"Insurance Start date should be less than Insurance End date","Дата начала страховки должна быть раньше даты окончания страховки"
"Insurance details","Детали страховки"
"Insured value","Застрахованная стоимость"
"Insurer","Страховщик"
"Integration Details","Детали интеграции"
"Integration ID","ID интеграции"
"Integration Request","Запрос интеграции"
"Integrations","Интеграции"
"Integrations can use this field to set email delivery status","Интеграции могут использовать это поле для установки статуса доставки электронной почты"
"Inter Company Invoice Reference","Ссылка на счёт-фактуру между компаниями"
"Inter Company Journal Entry","Журнальная запись между компаниями"
"Inter Company Journal Entry Reference","Ссылка на журнальную запись между компаниями"
"Inter Company Order Reference","Ссылка на заказ между компаниями"
"Inter Company Purchase Order","Заказ на покупку между компаниями"
"Inter Company Reference","Ссылка между компаниями"
"Inter Company Sales Order","Заказ покупателя между компаниями"
"Inter Transfer Reference","Ссылка на внутренний трансфер"
"Interest","Процент"
"Interest and/or dunning fee","Процент и/или штрафная санкция"
"Interested","Заинтересован"
"Interests","Проценты"
"Intermediate","Промежуточный"
"Internal Customer","Внутренний покупатель"
"Internal Customer for company {0} already exists","Внутренний покупатель для компании {0} уже существует"
"Internal Purchase Order","Внутренний заказ на покупку"
"Internal Sale or Delivery Reference missing.","Отсутствует ссылка на внутренний заказ или доставку."
"Internal Sales Order","Внутренний заказ покупателя"
"Internal Sales Reference Missing","Отсутствует ссылка на внутренний заказ"
"Internal Server Error","Внутренняя ошибка сервера"
"Internal Supplier","Внутренний поставщик"
"Internal Supplier for company {0} already exists","Внутренний поставщик для компании {0} уже существует"
"Internal Transfer","Внутренний трансфер"
"Internal Transfer Reference Missing","Отсутствует ссылка на внутренний трансфер"
"Internal Transfers","Внутренние трансферы"
"Internal Work History","История внутренних работ"
"Internal record of document shares","Внутренний реестр общего доступа к документам"
"Internal transfers can only be done in company's default currency","Внутренние перемещения можно выполнять только в валюте компании по умолчанию"
"Interval","Интервал"
"Interval should be between 1 to 59 MInutes","Интервал должен быть между 1 и 59 минутами"
"Intro","Вступление"
"Intro Video URL","URL видео вступления"
"Introduce your company to the website visitor.","Представьте вашу компанию посетителю веб-сайта."
"Introduction","Введение"
"Introductory information for the Contact Us Page","Вводная информация для страницы контактов"
"Introspection URI","URI самоанализа"
"Invalid","Некорректно"
"Invalid ""depends_on"" expression","Некорректное выражение ""depends_on"""
"Invalid ""depends_on"" expression set in filter {0}","Некорректное выражение ""depends_on"" установлено в фильтре {0}"
"Invalid ""mandatory_depends_on"" expression","Некорректное выражение ""mandatory_depends_on"""
"Invalid Account","Некорректный счёт"
"Invalid Accounting Dimension","Некорректное учётное измерение"
"Invalid Action","Некорректное действие"
"Invalid Allocated Amount","Некорректная сумма распределения"
"Invalid Amount","Некорректная сумма"
"Invalid Attribute","Некорректный атрибут"
"Invalid Auto Repeat Date","Некорректная дата автоповтора"
"Invalid Barcode. There is no Item attached to this barcode.","Некорректный штрихкод. К этому штрихкоду не привязана номенклатура."
"Invalid Blanket Order for the selected Customer and Item","Некорректный рамочный заказ для выбранного покупателя и номенклатуры"
"Invalid CSV Format","Некорректный формат CSV"
"Invalid Child Procedure","Некорректная дочерняя процедура"
"Invalid Code. Please try again.","Некорректный код. Пожалуйста, попробуйте ещё раз."
"Invalid Company for Inter Company Transaction.","Некорректная компания для внутрикорпоративной операции."
"Invalid Condition: {}","Некорректное условие: {}"
"Invalid Cost Center","Некорректный центр затрат"
"Invalid Credentials","Некорректные учётные данные"
"Invalid Credentials for Email Account: {0}","Некорректные учётные данные для почтового ящика: {0}"
"Invalid Customer Group","Некорректная группа покупателей"
"Invalid Date","Некорректная дата"
"Invalid Delivery Date","Некорректная дата доставки"
"Invalid Discount","Некорректная скидка"
"Invalid Discount Amount","Некорректная сумма скидки"
"Invalid DocType","Некорректный тип документа"
"Invalid DocType: {0}","Некорректный тип документа: {0}"
"Invalid Doctype","Некорректный тип документа"
"Invalid Document","Некорректный документ"
"Invalid Document Type","Некорректный тип документа"
"Invalid Fieldname","Неверное имя поля"
"Invalid File URL","Неверный URL файла"
"Invalid Filter","Неверный фильтр"
"Invalid Filter Format for field {0} of type {1}. Try using filter icon on the field to set it correctly","Неверный формат фильтра для поля {0} типа {1}. Попробуйте использовать значок фильтра в поле для его правильной установки"
"Invalid Filter Value","Неверное значение фильтра"
"Invalid Formula","Неверная формула"
"Invalid Gross Purchase Amount","Неверная валовая сумма закупки"
"Invalid Group By","Неверная группировка"
"Invalid Home Page","Неверная домашняя страница"
"Invalid Item","Неверная номенклатура"
"Invalid Item Defaults","Неверные параметры номенклатуры"
"Invalid Ledger Entries","Неверные записи регистра"
"Invalid Link","Неверная ссылка"
"Invalid Login Token","Неверный токен входа"
"Invalid Login. Try again.","Неверный вход. Попробуйте снова."
"Invalid Mail Server. Please rectify and try again.","Неверный почтовый сервер. Пожалуйста, исправьте и попробуйте снова."
"Invalid Naming Series: {}","Неверная серия нумерации: {}"
"Invalid Opening Entry","Неверная открывающая запись"
"Invalid Operation","Неверная операция"
"Invalid Option","Неверный вариант"
"Invalid Outgoing Mail Server or Port: {0}","Неверный исходящий почтовый сервер или порт: {0}"
"Invalid Output Format","Неверный формат вывода"
"Invalid POS Invoices","Неверные счета-фактуры POS"
"Invalid Parameters.","Неверные параметры."
"Invalid Parent Account","Неверный материнский счёт"
"Invalid Part Number","Неверный номер детали"
"Invalid Password","Неверный пароль"
"Invalid Phone Number","Неверный номер телефона"
"Invalid Posting Time","Неверное время проводки"
"Invalid Primary Role","Неверная основная роль"
"Invalid Priority","Неверный приоритет"
"Invalid Process Loss Configuration","Неверная конфигурация производственных потерь"
"Invalid Purchase Invoice","Неверный счёт-фактура поставщика"
"Invalid Qty","Неверное количество"
"Invalid Quantity","Неверное количество"
"Invalid Request","Неверный запрос"
"Invalid Schedule","Неверное расписание"
"Invalid Search Field {0}","Неверное поле поиска {0}"
"Invalid Selling Price","Неверная цена реализации"
"Invalid Serial and Batch Bundle","Неверный серийный номер и пакет партии"
"Invalid Source and Target Warehouse","Недопустимые исходный и целевой склады"
"Invalid Table Fieldname","Недопустимое имя поля таблицы"
"Invalid Transition","Недопустимый переход"
"Invalid URL","Недопустимый URL"
"Invalid Upload","Недопустимая загрузка"
"Invalid User Name or Support Password. Please rectify and try again.","Неверное имя пользователя или пароль поддержки. Исправьте и попробуйте снова."
"Invalid Value","Недопустимое значение"
"Invalid Values","Недопустимые значения"
"Invalid Warehouse","Недопустимый склад"
"Invalid Webhook Secret","Недопустимый секретный ключ веб-хука"
"Invalid aggregate function","Недопустимая агрегирующая функция"
"Invalid amount in accounting entries of {} {} for Account {}: {}","Недопустимая сумма в бухгалтерских проводках {} {} для счёта {}: {}"
"Invalid app","Недопустимое приложение"
"Invalid backup path","Недопустимый путь резервной копии"
"Invalid column","Недопустимая колонка"
"Invalid condition expression","Недопустимое условное выражение"
"Invalid docstatus","Недопустимый статус документа"
"Invalid expression set in filter {0}","Недопустимое выражение в фильтре {0}"
"Invalid expression set in filter {0} ({1})","Недопустимое выражение в фильтре {0} ({1})"
"Invalid field for grouping","Недопустимое поле для группировки"
"Invalid field name {0}","Недопустимое имя поля {0}"
"Invalid fieldname '{0}' in autoname","Недопустимое имя поля '{0}' в автоматическом названии"
"Invalid file path: {0}","Недопустимый путь файла: {0}"
"Invalid filter: {0}","Недопустимый фильтр: {0}"
"Invalid include path","Недопустимый путь включения"
"Invalid input","Недопустимый ввод"
"Invalid json added in the custom options: {0}","Недопустимый JSON в пользовательских параметрах: {0}"
"Invalid lost reason {0}, please create a new lost reason","Недопустимая причина отказа {0}, создайте новую причину отказа"
"Invalid name type (integer) for varchar name column","Недопустимый тип имени (integer) для колонки varchar name"
"Invalid naming series (. missing) for {0}","Недопустимая серия нумерации (отсутствует точка) для {0}"
"Invalid naming series {}: dot (.) missing","Недопустимая серия нумерации {}: отсутствует точка (.)"
"Invalid naming series {}: dot (.) missing before the numeric placeholders. Kindly use a format like <b>ABCD.#####</b>.","Недопустимая серия нумерации {}: отсутствует точка (.) перед числовыми заполнителями. Используйте формат типа <b>АБВГ.#####</b>."
"Invalid or corrupted content for import","Недопустимое или повреждённое содержимое для импорта"
"Invalid or expired key","Недопустимый или истекший ключ"
"Invalid parameter. 'dn' should be of type str","Недопустимый параметр. 'dn' должен быть типа str"
"Invalid redirect regex in row #{}: {}","Недопустимое регулярное выражение редиректа в строке #{}: {}"
"Invalid reference {0} {1}","Недопустимая ссылка {0} {1}"
"Invalid request arguments","Недопустимые аргументы запроса"
"Invalid result key. Response:","Недопустимый ключ результата. Ответ:"
"Invalid role","Недопустимая роль"
"Invalid template file for import","Неверный файл шаблона для импорта"
"Invalid token state! Check if the token has been created by the OAuth user.","Неверное состояние токена! Проверьте, был ли токен создан пользователем OAuth."
"Invalid username or password","Неверное имя пользователя или пароль"
"Invalid value {0} for {1} against account {2}","Неверное значение {0} для {1} по счёту {2}"
"Invalid values for fields:","Неверные значения для полей:"
"Invalid wkhtmltopdf version","Неверная версия wkhtmltopdf"
"Invalid {0}","Неверно {0}"
"Invalid {0} condition","Неверное условие {0}"
"Invalid {0} for Inter Company Transaction.","Неверно {0} для транзакции между компаниями."
"Invalid {0}: {1}","Неверно {0}: {1}"
"Inventory","Запасы"
"Inventory Dimension","Измерение запасов"
"Inventory Dimension Negative Stock","Отрицательный остаток по измерению запасов"
"Inventory Settings","Настройки запасов"
"Inventory Turnover Ratio","Коэффициент оборачиваемости запасов"
"Inverse","Обратный"
"Investments","Инвестиции"
"Invitation already accepted","Приглашение уже принято"
"Invitation already exists","Приглашение уже существует"
"Invitation cannot be cancelled","Приглашение не может быть отменено"
"Invitation is cancelled","Приглашение отменено"
"Invitation is expired","Приглашение истекло"
"Invitation not found","Приглашение не найдено"
"Invitation to join {0} cancelled","Приглашение присоединиться к {0} отменено"
"Invitation to join {0} expired","Приглашение присоединиться к {0} истекло"
"Invite as User","Пригласить как пользователя"
"Invited By","Приглашено"
"Invoice","Счёт-фактура"
"Invoice Cancellation","Отмена счёта-фактуры"
"Invoice Date","Дата счёта-фактуры"
"Invoice Discounting","Дисконтирование счётов-фактур"
"Invoice Grand Total","Итого по счёту-фактуре"
"Invoice ID","ID счёта-фактуры"
"Invoice Limit","Лимит счёта-фактуры"
"Invoice Number","Номер счёта-фактуры"
"Invoice Portion","Доля счёта-фактуры"
"Invoice Portion (%)","Доля счёта-фактуры (%)"
"Invoice Posting Date","Дата проведения счёта-фактуры"
"Invoice Series","Серия счётов-фактур"
"Invoice Status","Статус счёта-фактуры"
"Invoice Type","Тип счета-фактуры"
"Invoice already created for all billing hours","Счет-фактура уже создана для всех часов выставления счета"
"Invoice and Billing","Счет-фактура и выставление счетов"
"Invoice can't be made for zero billing hour","Счет-фактура не может быть создана для нулевых часов выставления счета"
"Invoiced Amount","Сумма по счету-фактуре"
"Invoiced Amount (Excl. Tax)","Сумма по счету-фактуре (без налога)"
"Invoiced Qty","Количество по счету-фактуре"
"Invoices","Счета-фактуры"
"Invoices and Payments have been Fetched and Allocated","Счета-фактуры и платежи получены и распределены"
"Invoicing Features","Функции выставления счетов"
"Inward","Входящий"
"Is","Является"
"Is Account Payable","Является кредиторской задолженностью"
"Is Active","Активно"
"Is Adjustment Entry","Является корректировочной записью"
"Is Advance","Является авансом"
"Is Alternative","Является альтернативой"
"Is Attachments Folder","Является папкой вложений"
"Is Billable","Подлежит выставлению счета"
"Is Billing Contact","Является контактом для выставления счетов"
"Is Calendar and Gantt","Является календарем и диаграммой Ганта"
"Is Cancelled","Аннулировано"
"Is Cash or Non Trade Discount","Является скидкой наличными или негативной скидкой"
"Is Company","Является организацией"
"Is Company Account","Является счетом организации"
"Is Complete","Завершено"
"Is Completed","Выполнено"
"Is Composite Asset","Является составным активом"
"Is Consolidated","Консолидировано"
"Is Container","Является контейнером"
"Is Corrective Job Card","Является корректировочной карточкой работ"
"Is Corrective Operation","Является корректировочной операцией"
"Is Cumulative","Является кумулятивным"
"Is Custom","Является пользовательским"
"Is Custom Field","Является пользовательским полем"
"Is Customer Provided Item","Является номенклатурой, предоставленной покупателем"
"Is Default","По умолчанию"
"Is Default Account","Является счетом по умолчанию"
"Is Default Language","Является языком по умолчанию"
"Is Delivery Note Required for Sales Invoice Creation?","Требуется ли расходная накладная для создания счета-фактуры на продажу?"
"Is Discounted","Со скидкой"
"Is Dynamic URL?","Динамический URL?"
"Is Exchange Gain / Loss?","Курсовая разница?"
"Is Existing Asset","Существующий актив"
"Is Expandable","Расширяемый"
"Is Finished Item","Готовая продукция"
"Is Fixed Asset","Основное средство"
"Is Folder","Папка"
"Is Free Item","Бесплатный товар"
"Is Frozen","Заморожен"
"Is Fully Depreciated","Полностью амортизирован"
"Is Global","Глобальный"
"Is Group","Группа"
"Is Group Warehouse","Групповой склад"
"Is Hidden","Скрытый"
"Is Home Folder","Домашняя папка"
"Is Internal Customer","Внутренний покупатель"
"Is Internal Supplier","Внутренний поставщик"
"Is Mandatory","Обязательный"
"Is Mandatory Field","Обязательное поле"
"Is Milestone","Вехи"
"Is Old Subcontracting Flow","Старый процесс субподряда"
"Is Opening","Начальный"
"Is Opening Entry","Начальная проводка"
"Is Optional State","Необязательный статус"
"Is Outward","Исходящий"
"Is Paid","Оплачен"
"Is Period Closing Voucher Entry","Проводка закрытия периода"
"Is Primary","Первичный"
"Is Primary Contact","Основной контакт"
"Is Primary Mobile","Основной мобильный телефон"
"Is Primary Phone","Основной телефон"
"Is Private","Приватный"
"Is Public","Общий"
"Is Published Field","Опубликованное поле"
"Is Published Field must be a valid fieldname","Опубликованное поле должно быть корректным именем поля"
"Is Purchase Order Required for Purchase Invoice & Receipt Creation?","Требуется ли заказ на закупку для создания счёта-фактуры покупки и приёмки?"
"Is Purchase Receipt Required for Purchase Invoice Creation?","Требуется ли приёмка от поставщика для создания счёта-фактуры покупки?"
"Is Query Report","Отчёт запроса"
"Is Rate Adjustment Entry (Debit Note)","Корректировочная проводка (дебет-нота)"
"Is Recursive","Рекурсивный"
"Is Rejected","Отклонено"
"Is Rejected Warehouse","Склад отклонения"
"Is Remote Request?","Удалённый запрос?"
"Is Return","Возврат"
"Is Return (Credit Note)","Возврат (Кредит-нота)"
"Is Return (Debit Note)","Возврат (Дебет-нота)"
"Is Sales Order Required for Sales Invoice & Delivery Note Creation?","Требуется ли заказ покупателя для создания счёта-фактуры продажи и накладной?"
"Is Scrap Item","Материал отхода"
"Is Setup Complete?","Настройка завершена?"
"Is Short/Long Year","Короткий/длинный год"
"Is Single","Единая форма"
"Is Skipped","Пропущено"
"Is Spam","Спам"
"Is Standard","Стандартный"
"Is Stock Item","Товар на складе"
"Is Subcontracted","Субподряд"
"Is Submittable","Провод имый"
"Is System Generated","Сгенерировано системой"
"Is Table","Таблица"
"Is Table Field","Поле таблицы"
"Is Tax Withholding Account","Счёт удержания налога"
"Is Template","Шаблон"
"Is Transporter","Перевозчик"
"Is Tree","Дерево"
"Is Unique","Уникальный"
"Is Virtual","Виртуальный"
"Is Your Company Address","Адрес вашей компании"
"Is a Subscription","Подписка"
"Is this Tax included in Basic Rate?","Этот налог включён в базовую ставку?"
